Date,Stock Price Breadth
2021-01-13,1672.350352006723
2021-01-14,1706.0748978643069
2021-01-15,1709.535492152574
2021-01-19,1719.6713879750507
2021-01-20,1728.5887091831846
2021-01-21,1716.4618397087181
2021-01-22,1701.6493181010549
2021-01-25,1686.095290779216
2021-01-26,1665.917923125069
2021-01-27,1638.8637205418747
2021-01-28,1618.8682340452963
2021-01-29,1569.5201354560857
2021-02-01,1554.9361965082392
2021-02-02,1551.9343155482422
2021-02-03,1562.6350232520278
2021-02-04,1584.4959930806583
2021-02-05,1619.3799370023326
2021-02-08,1669.7637133963826
2021-02-09,1706.3598102571902
2021-02-10,1738.0679758666124
2021-02-11,1751.9714427210813
2021-02-12,1775.2128819583224
2021-02-16,1798.6097889692376
2021-02-17,1806.7344618707095
2021-02-18,1783.6380913323433
2021-02-19,1776.635937159378
2021-02-22,1771.1836158872939
2021-02-23,1761.0533500558397
2021-02-24,1774.7556650082258
2021-02-25,1746.279486613537
2021-02-26,1691.960919064347
2021-03-01,1675.2824842195153
2021-03-02,1653.7482661341237
2021-03-03,1632.5313188610244
2021-03-04,1590.7307172420421
2021-03-05,1578.109358924806
2021-03-08,1570.846855906795
2021-03-09,1567.207319866347
2021-03-10,1585.975789904233
2021-03-11,1614.657593293076
2021-03-12,1653.721167544855
2021-03-15,1695.6939992788934
2021-03-16,1701.7151032078505
2021-03-17,1722.7693899676945
2021-03-18,1713.6313633720133
2021-03-19,1697.5878882031939
2021-03-22,1670.22609209434
2021-03-23,1606.419588081766
2021-03-24,1531.2338464347627
2021-03-25,1489.9041872526059
2021-03-26,1469.5543765164764
2021-03-29,1432.5231321823169
2021-03-30,1413.2151934332335
2021-03-31,1387.924301135389
2021-04-01,1382.8777416309315
2021-04-05,1386.0236373780974
2021-04-06,1397.3276825310177
2021-04-07,1395.3086593727044
2021-04-08,1389.6329640761926
2021-04-09,1385.6642193354962
2021-04-12,1374.007923871603
2021-04-13,1358.1502422595893
2021-04-14,1358.002983809396
2021-04-15,1362.2144434426411
2021-04-16,1382.9873020788323
2021-04-19,1387.783567366037
2021-04-20,1362.9443831312533
2021-04-21,1376.2763679239752
2021-04-22,1372.259809465568
