Date,Junk Bond Demand
2022-07-22,1.9843
2022-07-25,1.9801999999999997
2022-07-26,1.9608
2022-07-27,1.981
2022-07-28,1.9608999999999999
2022-07-29,1.9546
2022-08-01,1.7747000000000002
2022-08-02,1.9436999999999995
2022-08-03,1.912
2022-08-04,1.9247000000000003
2022-08-05,1.9136999999999997
2022-08-08,1.8908000000000005
2022-08-09,1.8921999999999999
2022-08-10,1.9078000000000006
2022-08-11,1.8751000000000004
2022-08-12,1.854
2022-08-15,1.8711000000000002
2022-08-16,1.8735
2022-08-17,1.8827000000000003
2022-08-18,1.8936000000000004
2022-08-19,1.9015
2022-08-22,1.9066
2022-08-23,1.9365999999999999
2022-08-24,1.9379
2022-08-25,1.9281
2022-08-26,1.9287
2022-08-29,1.9528000000000003
2022-08-30,1.9627
2022-08-31,1.8423
2022-09-01,1.8422
2022-09-02,2.0705
2022-09-06,2.0587
2022-09-07,2.0294000000000003
2022-09-08,2.0288
2022-09-09,1.9939
2022-09-12,1.9626
2022-09-13,1.9475
2022-09-14,2.0025
2022-09-15,2.0144
2022-09-16,2.0328000000000004
2022-09-19,2.056
2022-09-20,2.0366000000000004
2022-09-21,2.0357
2022-09-22,2.0426
2022-09-23,2.0456
2022-09-26,2.0929
2022-09-27,2.0908
2022-09-28,2.0671
2022-09-29,2.0874000000000006
2022-09-30,1.941
2022-10-03,1.9226
2022-10-04,2.1045999999999996
2022-10-05,2.0407
2022-10-06,2.0265
2022-10-07,2.0102
2022-10-10,2.0191999999999997
2022-10-11,2.0211
2022-10-12,2.0403
2022-10-13,2.0397
2022-10-14,2.0357
2022-10-17,2.01
2022-10-18,1.9805999999999997
2022-10-19,1.9708000000000003
2022-10-20,1.9749000000000003
2022-10-21,1.958
2022-10-24,1.9464000000000001
2022-10-25,1.9352
2022-10-26,1.9462
2022-10-27,1.9399
2022-10-28,1.9243999999999997
2022-10-31,1.7730999999999997
2022-11-01,1.7880999999999998
2022-11-02,1.8931999999999998
2022-11-03,1.9005
2022-11-04,1.933
2022-11-07,1.9189000000000005
2022-11-08,1.9066999999999994
2022-11-09,1.9320000000000004
2022-11-10,1.9693999999999996
2022-11-11,1.9491999999999996
2022-11-14,1.9438000000000004
2022-11-15,1.9285999999999999
2022-11-16,1.9414
2022-11-17,1.9681999999999997
2022-11-18,1.9794
2022-11-21,1.9683
2022-11-22,1.9699
2022-11-23,1.9684000000000004
2022-11-25,1.9635000000000002
2022-11-28,1.9619
2022-11-29,1.9815000000000003
2022-11-30,1.8145
2022-12-01,1.8007999999999995
2022-12-02,1.9244000000000003
2022-12-05,1.9388999999999996
2022-12-06,1.9331
2022-12-07,1.9711
2022-12-08,1.9930000000000003
2022-12-09,1.9746999999999997
2022-12-12,1.9407
2022-12-13,1.9339000000000002
2022-12-14,1.9187
2022-12-15,1.7647999999999997
2022-12-16,2.0378
2022-12-19,2.0494
2022-12-20,2.0393999999999997
2022-12-21,2.0195000000000003
2022-12-22,1.9995
2022-12-23,2.0156
2022-12-27,2.0017
2022-12-28,1.9853000000000003
2022-12-29,2.0255
2022-12-30,2.0547000000000004
2023-01-03,2.0330999999999997
2023-01-04,2.0164
2023-01-05,1.9977999999999996
2023-01-06,2.0005999999999995
2023-01-09,1.9774
2023-01-10,1.9636
2023-01-11,1.9546
2023-01-12,1.9623999999999997
2023-01-13,1.9714000000000003
2023-01-17,1.9607
2023-01-18,1.9589999999999996
2023-01-19,1.9776
2023-01-20,1.9988
2023-01-23,1.9851
2023-01-24,1.9680999999999997
2023-01-25,1.9888999999999997
2023-01-26,1.9917999999999998
2023-01-27,1.9774
2023-01-30,1.9757999999999998
2023-01-31,1.9795
2023-02-01,1.8050999999999997
2023-02-02,1.9947
2023-02-03,1.9396999999999998
2023-02-06,1.9406
2023-02-07,1.9609
2023-02-08,1.9488
2023-02-09,1.9651000000000003
2023-02-10,1.9576000000000002
2023-02-13,1.9795
2023-02-14,1.9761999999999995
2023-02-15,1.9815
2023-02-16,1.9808
2023-02-17,1.9802
2023-02-21,1.9991999999999996
2023-02-22,2.0099000000000005
2023-02-23,1.9928
2023-02-24,1.9674999999999998
2023-02-27,1.9626
2023-02-28,1.9389000000000003
2023-03-01,1.7713
2023-03-02,2.20863705142116
2023-03-03,2.01936328504505
2023-03-04,2.01936328504505
2023-03-06,2.0098312935981
2023-03-07,2.03920313458727
2023-03-08,2.0598129943101
2023-03-09,2.08755731155036
2023-03-10,2.13639239538833
2023-03-11,2.13639239538833
2023-03-13,2.16994709008396
2023-03-14,2.11904142036403
2023-03-15,2.17017938671795
2023-03-16,2.12862418573868
2023-03-17,2.17920658924004
2023-03-18,2.17920658924004
2023-03-20,2.18434648861209
2023-03-21,2.14010195650797
2023-03-22,2.15462158922823
2023-03-23,2.18609063337615
2023-03-24,2.20796209329735
2023-03-25,2.20796209329735
2023-03-27,2.18077016993298
2023-03-28,2.17812647562859
2023-03-29,2.12455823402891
2023-03-30,2.09670229245545
2023-03-31,2.06816635564477
2023-04-01,1.8720128332857
2023-04-03,1.89482210060609
2023-04-04,2.06026816791823
2023-04-05,2.10243973324564
2023-04-06,2.07497045160132
2023-04-10,2.06420789078251
2023-04-11,2.05150848263553
2023-04-12,2.04574662687595
2023-04-13,2.01455268615722
2023-04-14,2.01336888706273
2023-04-17,2.00600020095094
2023-04-18,2.01383124523154
2023-04-19,2.01855288167863
2023-04-20,2.03681749099183
2023-04-21,2.02215445398836
